"","MarkerX","MarkerZ","SecondX","SecondZ","UserX","UserZ","ErrorX","ErrorY","ErrorMag","MarkerTime","TrialTime","Landmark","AngleError","Interface"
"86",1.2,-1.8,1.2,-0.2,2.5,-2.6,1.3,-0.8,1.52643375224737,2.5079,8.25235,"N",28.4429286243634,0
"87",0,-2.1,0.5,0.8,0.4,-2.8,0.4,-0.7,0.806225774829855,2.94378,8.46601,"N",8.19126676061271,0
"88",1.2,-1.8,-0.1,-1.9,1.4,-2.4,0.2,-0.6,0.632455532033676,2.48269000000001,9.90491,"N",22.8336541779175,0
"89",0,-2.1,1.4,0.1,0.1,-2.1,0.1,0,0.1,3.90643,12.65087,"N",1.89196541835946,0
"90",0,2.1,1.5,0.6,-0.2,2.7,-0.2,0.6,0.632455532033676,1.77038999999999,9.62594,"N",6.00900595749442,0
"91",-1.5,0,1.6,0.6,-2.2,-1.2,-0.7,-1.2,1.38924439894498,4.92259999999999,13.2448,"N",14.3921132985483,0
"92",0,2.1,-1.4,0.5,-0.2,2.9,-0.2,0.8,0.824621125123532,3.96000000000001,9.94889999999999,"N",14.6208739886317,0
"93",-1.2,1.8,0.1,-0.8,-1.7,2.6,-0.5,0.8,0.94339811320566,4.7157,10.8157,"N",1.33221985386936,0
"94",-1.2,-1.8,0,-1.9,-1.4,-1.9,-0.2,-0.0999999999999999,0.223606797749979,3.57169999999999,10.4162,"N",4.76364169072614,0
"95",0,2.1,1.4,1.2,-0.3,2.9,-0.3,0.8,0.854400374531753,1.11089999999999,8.08869999999999,"N",12.2647737278924,0
"96",1.2,-1.8,-1.4,-1.2,1.1,-2.6,-0.0999999999999999,-0.8,0.806225774829855,4.42229999999998,12.3889,"N",16.2542095446305,0
"97",0,2.1,-1.4,1.2,0,2.1,0,0,0,8.89375,16.42708,"L",0,0
"98",-1.5,0,1,1,-1.6,0.2,-0.1,0.2,0.223606797749979,2.90736,8.9407,"L",4.69868051729935,0
"99",1.2,1.8,1.2,0,1.2,2.1,0,0.3,0.3,1.39241,8.34796,"L",0,0
"100",0,-2.1,-1,-1.4,0.1,-2,0.1,0.1,0.14142135623731,2.24409,11.02187,"L",6.38156053259339,0
"101",-1.2,-1.8,-0.5,0.5,-1.5,-1.8,-0.3,0,0.3,2.79593,11.71815,"L",6.57105261180496,0
"102",0,2.1,-1.3,-0.1,0.2,3,0.2,0.9,0.921954445729289,2.42620000000001,10.3151,"L",4.75823489829969,0
"103",1.2,-1.8,-1.1,-0.2,1.8,-2,0.6,-0.2,0.632455532033676,2.8946,7.8168,"L",2.99704258028365,0
"104",-1.5,0,0.2,1.5,-1.2,-0.1,0.3,-0.1,0.316227766016838,2.95680000000002,8.52350000000001,"L",7.39040920928775,0
"105",0,-2.1,1.5,-0.3,-0.5,-2.9,-0.5,-0.8,0.94339811320566,3.61520000000002,9.4374,"L",2.23697906343776,0
"106",1.5,0,-1.4,1.1,1,-0.4,-0.5,-0.4,0.640312423743285,3.101,8.30099999999999,"L",11.2331285260377,0
"107",-1.2,1.8,0.5,-0.8,-1,1.2,0.2,-0.6,0.632455532033676,2.59529999999998,9.07309999999998,"L",3.69138598645126,0
"108",1.2,-1.8,1.4,-0.8,2.1,-2.2,0.9,-0.4,0.984885780179611,1.6026,9.4915,"L",37.8749836510982,0
"109",0,-2.1,-1.4,-0.6,0.4,-2.8,0.4,-0.7,0.806225774829855,1.5753,7.00864,"N",3.73565912661768,0
"110",0,2.1,-0.6,-1.1,0.1,1.5,0.1,-0.6,0.608276253029822,2.90841,7.7973,"N",4.44883288333725,0
"111",0,-2.1,0.9,-1.5,0.1,-2.5,0.1,-0.4,0.412310562561766,3.37152,10.1493,"N",17.6501242199301,0
"112",-1.2,1.8,-0.1,2.1,-1.1,2.3,0.0999999999999999,0.5,0.509901951359278,1.47942,8.04609000000001,"N",26.5650511770779,0
"113",0,2.1,-1.1,0.8,-0.6,2.3,-0.6,0.2,0.632455532033676,3.32476,7.79142,"N",21.8014094863518,0
"114",-1.5,0,1.6,0.6,-0.7,0.3,0.8,0.3,0.854400374531753,4.33946999999999,9.21724,"N",3.52265467222587,0
"115",1.2,-1.8,1,0.5,0.9,-1.5,-0.3,0.3,0.424264068711929,1.8462,7.62397,"N",7.83214595422205,0
"116",-1.2,-1.8,1.1,-0.8,-0.6,-2.7,0.6,-0.9,1.0816653826392,2.27130000000001,6.7269,"N",24.6812644439121,0
"117",1.5,0,-0.7,-1.2,1.1,-0.3,-0.4,-0.3,0.5,2.07549999999999,9.07549999999999,"N",2.04540848888723,0
"118",-1.2,-1.8,1.2,-1,-0.6,-2.1,0.6,-0.3,0.670820393249937,1.29689999999999,6.7525,"N",12.9946167919165,0
"119",-1.2,1.8,1.4,0.5,-1.4,1.8,-0.2,0,0.2,2.9196,8.08629999999999,"N",1.66028236898271,0
"120",-1.2,-1.8,-1.2,-0.2,-1.6,-2,-0.4,-0.2,0.447213595499958,1.9795,6.36840000000001,"N",12.5288077091515,0
"121",-1.5,0,-0.2,-1.1,-2.1,0.1,-0.6,0.1,0.608276253029822,1.47645,12.58756,"L",7.96071399469616,0
"122",0,-2.1,0.6,0.8,0.4,-2.3,0.4,-0.2,0.447213595499958,1.58176,9.84843,"L",7.99798318898796,0
"123",1.2,1.8,-0.9,1.6,2,2.2,0.8,0.4,0.894427190999916,0.623169999999995,9.58984,"L",6.24903714443367,0
"124",-1.2,-1.8,-1.4,-0.6,-1.2,-2.7,0,-0.9,0.9,1.59572999999999,9.39572,"L",4.02199017701997,0
"125",-1.2,1.8,-1.5,0.8,-1,2.4,0.2,0.6,0.632455532033676,-1.16250000000001,9.19306,"L",0.654780402267342,0
"126",1.5,0,-0.8,1.3,1.8,0.2,0.3,0.2,0.360555127546399,1.31400000000001,8.4474,"L",6.54378856565603,0
"127",0,2.1,1.1,-0.1,0.2,1.9,0.2,-0.2,0.282842712474619,1.82839999999999,9.02839999999999,"L",2.33730585912398,0
"128",0,-2.1,0.9,0.6,0,-2.3,0,-0.2,0.2,1.35809999999998,7.0137,"L",1.19348942398273,0
"129",0,2.1,1.1,0.8,-0.4,2.4,-0.4,0.3,0.5,1.41480000000001,7.87040000000002,"L",2.91603142473147,0
"130",1.5,0,0,-1.5,1.7,0.3,0.2,0.3,0.360555127546399,2.03290000000001,8.97730000000001,"L",1.63657704161689,0
"131",1.2,-1.8,-1.3,0,1.2,-1.9,0,-0.0999999999999999,0.0999999999999999,1.98249999999999,9.01589999999999,"L",1.48094672713786,0
"132",-1.2,-1.8,-0.1,0.8,-1.5,-1.3,-0.3,0.5,0.58309518948453,1.5215,7.95490000000001,"L",10.75796708839,0
"133",-1.2,-1.8,-1,0.5,-0.4,-2.4,0.8,-0.6,1,3.40888,11.88666,"N",16.6591099035495,0
"134",-1.2,1.8,0.5,-0.6,-2,1.3,-0.8,-0.5,0.94339811320566,1.71102,7.62213,"N",17.4539525787922,0
"135",1.2,1.8,1.4,0.1,1.4,2.5,0.2,0.7,0.728010988928052,1.38954,8.30066,"N",6.70983680775685,0
"136",0,2.1,1,1.3,-0.2,2.7,-0.2,0.6,0.632455532033676,1.09774,10.23108,"N",10.7388971009054,0
"137",-1.5,0,-0.6,-1.4,-2.3,0.2,-0.8,0.2,0.824621125123532,1.03451,6.87895,"N",14.0004783168208,0
"138",1.2,1.8,-0.8,1.7,1.4,2.8,0.2,1,1.01980390271856,1.21109999999999,7.5889,"N",23.7026459509662,0
"139",1.5,0,-0.7,1.4,2.5,-0.1,1,-0.1,1.00498756211209,0.882899999999992,6.87179999999999,"N",7.35635740470399,0
"140",-1.5,0,1.1,-1.1,-2.9,0.1,-1.4,0.1,1.40356688476182,1.67830000000001,7.15610000000001,"N",6.2328562035962,0
"141",1.5,0,-1.6,-0.6,2.1,-0.2,0.6,-0.2,0.632455532033676,1.44820000000001,7.57040000000001,"N",4.78388754836865,0
"142",1.2,1.8,0,-0.9,2.1,1.6,0.9,-0.2,0.921954445729289,2.31279999999998,8.76829999999998,"N",16.0677702973115,0
"143",0,2.1,-0.9,1.5,1,3.1,1,1,1.4142135623731,0.820400000000006,6.876,"N",6.41084002023256,0
"144",-1.5,0,0.6,1.4,-1.7,0.3,-0.2,0.3,0.360555127546399,1.3253,7.89189999999999,"N",8.13010235415596,0
"145",0,-2.1,-0.5,0.5,-3.7,-0.4,-3.7,1.7,4.07185461430047,6.02942,12.91831,"L",85.176889225643,0
"146",-1.2,-1.8,0.8,-1.7,-0.2,0.6,1,2.4,2.6,3.72978000000001,15.66311,"L",69.3638395501597,0
